"sample_id"	"PGS000163"	"PGS000164"	"PGS000165"	"PGS000166"	"PGS000167"	"PGS000168"	"PGS000169"	"PGS000170"	"PGS000171"	"PGS000172"	"PGS000173"	"PGS000174"	"PGS000175"	"PGS000176"	"PGS000177"	"PGS000178"	"PGS000179"	"PGS000180"	"PGS000181"	"PGS000182"	"PGS000183"	"PGS000184"	"PGS000185"	"PGS000186"	"PGS000187"	"PGS000188"	"PGS000189"	"PGS000190"	"PGS000191"
"GTEX-1117F"	0.3806469	0.878038	-3.7135906	-3.2291414	0.4163683	2.1368154	4.4349603	4.3728979	2.8831543	0.2446934	0.3569089	2.6611691	1.801754	2.3240561	1.5674933	0.8574966	0.9338375	-0.7149604	-0.1537221	-0.948542	-0.4955733	3.032858	1.6917663	0.7397075	0.9214347	0.842724	4.2193042	4.2187055	-0.48459
"GTEX-111CU"	0.2064739	0.7548888	-3.9492156	-3.6952287	0.2869358	1.7236042	4.1300457	4.5257878	2.6282528	-0.090086	-0.0592994	2.5004139	2.0503402	1.8665153	1.6237978	0.7156781	0.8308186	-0.5291329	-0.2985605	-1.0259112	-0.4303846	1.9436665	2.2127765	0.0984094999999999	0.6143391	0.9863121	4.2681132	4.4504655	-0.9142476
"GTEX-111FC"	0.1510253	0.8561732	-3.8376466	-3.1346167	-0.330969	1.2256898	4.4129633	4.5950187	3.1332875	-0.2846926	-0.1086845	2.8787522	1.9601972	2.545554	1.5449122	0.4508785	-0.109744	-0.1745706	-0.3416134	-0.8944093	-0.1609818	2.4997981	2.3180539	1.2521282	0.335028	0.8855678	4.5584979	4.505412	-0.559348
"GTEX-111VG"	0.0782434	0.7029858	-3.8756598	-3.1093268	0.1998405	1.9257611	3.9796476	4.3932558	2.7459252	-0.0435285	0.0491368	2.8408489	1.8050508	2.5478855	1.4279337	0.1186987	0.4256803	-1.1218271	-0.4094764	-1.0032017	-0.3787154	2.7175168	2.0599749	1.2534249	1.0891001	0.1868042	4.2832597	4.6486251	-1.0679006
"GTEX-111YS"	0.5410653	1.0156237	-3.5842641	-3.3803721	0.0788395	1.38643	4.7591111	4.8508839	3.0739048	-0.089507	0.2374592	2.636155	1.6328862	2.4112771	2.0512947	0.907931	0.7683186	-0.6711704	-0.1915244	-0.7245853	-0.3556682	3.3178128	1.9952716	1.2545477	0.5340879	0.9369695	4.5492129	4.7586013	-0.5033859
"GTEX-1122O"	0.2568363	0.9157099	-4.1955802	-3.2196975	0.4280533	2.0240066	4.2026978	4.5158979	3.1800953	0.1487145	0.251399	2.790015	1.7810263	2.6819802	1.2232565	0.0900392	1.0050662	-0.7286477	-0.0609870999999999	-1.0541924	-0.5039774	2.4237115	2.5923357	0.6764149	0.9435796	1.2345469	4.1609992	4.3670834	-0.8890277
"GTEX-1128S"	0.4498869	0.9594237	-4.35438	-3.7273615	-0.3491181	1.2481899	4.5619654	4.6531076	3.0666485	0.0183342	-0.0272472	2.2272595	1.8702096	1.7071898	1.2055734	0.5576229	0.5335173	-0.9191123	0.0123445000000001	-0.5928827	0.00699680000000004	2.9041523	1.3017007	1.5763316	0.6182782	1.6481568	4.5253931	4.5997319	-0.648727
"GTEX-113IC"	0.2381773	0.8845315	-3.8472793	-3.2628602	0.2038707	1.859773	4.2060573	4.5601754	2.7240092	-0.0072076	-0.055584	2.4332157	1.9236501	1.9977429	0.9881165	-0.4985315	0.9883115	-1.0593541	-0.1854266	-0.7716597	-0.1767276	3.1955999	2.7206336	1.2843909	0.339014	1.0718717	4.4266974	4.3910391	-0.4018935
"GTEX-113JC"	0.0698766	0.6832743	-3.6979575	-3.3240717	0.3378556	2.1398083	4.2070878	4.4532325	2.5006077	-0.4254034	0.0748983	3.2022611	2.1004512	2.9246775	1.1199602	0.2586746	0.3808877	-0.7623533	-0.112528	-1.1219023	-0.0572865999999999	3.0741898	2.20222	1.0326955	0.8687638	0.2488524	4.5532437	4.6267042	-0.9232945
"GTEX-117XS"	0.2181521	0.8695345	-3.7096831	-3.6161193	-0.0546889	1.7347575	4.3001326	4.3155531	2.6625844	-0.107385	0.3191792	3.3157459	1.9011609	3.2452883	1.0788232	0.1757293	0.9693893	0.1781564	0.7304979	-1.2248109	-0.1422708	2.890912	1.6228032	1.4565123	-0.1164535	0.9978962	4.1658129	4.2655751	-0.932055
"GTEX-117YW"	0.2696168	0.7440899	-3.8339241	-3.2288396	-0.0345997	1.670355	4.0968074	4.4185726	2.7642244	-0.8504573	-0.3797075	2.241271	1.9443606	1.9694231	1.9165811	0.4435282	0.5101516	-0.8626675	0.0134711000000001	-0.9299047	0.1737322	3.0066865	2.7837415	0.9042226	0.660221	1.2742666	4.1594789	4.3626495	-0.7641388
"GTEX-117YX"	0.4587431	0.9544206	-3.8033094	-3.5644299	0.1389159	1.9533846	4.0847074	4.2772388	2.6530961	-0.00589950000000001	-0.0788187	3.1399605	2.3157264	3.2767118	1.4479899	0.2739006	0.9230332	-0.4091506	0.7440543	-0.7557772	-0.2154715	2.5458211	2.419477	0.9751579	0.6529331	0.7552327	4.0903893	4.1638227	-0.6772585
"GTEX-1192W"	0.4155526	0.8839661	-4.1091481	-3.5298917	-0.1612952	1.5536143	3.9512669	4.2875628	2.3586255	0.1863336	0.1404591	2.6536007	1.5995155	2.5556607	1.5436216	0.2346382	0.4982677	-0.3463929	0.5137398	-0.5848181	-0.2812703	2.1260331	1.5429756	0.7440027	0.4345865	1.0724135	3.99524	4.3595316	-0.2120969
"GTEX-1192X"	0.2424348	0.7639855	-3.6896549	-3.2286539	0.5133451	1.7963639	4.0696238	4.3734552	2.9583316	0.2197827	0.2754131	3.0783081	1.8638179	2.9687572	0.8155051	-0.1892274	0.1556423	-0.5351175	0.4074285	-1.1929406	0.0278607000000001	2.3081881	2.33736	0.9388026	0.4599618	0.4776263	4.4203154	4.7796641	-0.9105554
"GTEX-11DXX"	0.1361346	0.7914388	-4.2099854	-3.4381829	-0.1319264	1.4358043	4.5349306	4.7779233	3.1532052	-0.3437192	-0.1374756	2.4634467	1.9595669	2.207341	1.6329527	0.1533125	0.2909238	-0.9359035	-0.1742578	-0.6853405	0.0796858	3.2832282	2.2325745	1.2670216	0.3432404	0.9082557	4.5389148	4.7124612	-0.4683506
"GTEX-11DXZ"	0.2886682	0.9613836	-3.5549227	-2.7545986	0.185022	2.0093027	4.2400012	4.5522095	2.6283818	-0.2294543	-0.1822398	2.7657056	2.0228148	2.9596973	1.4558245	0.0619638	0.354267	-0.8725529	0.2422688	-1.1375044	-0.3890855	3.1005365	1.9404878	1.3410709	0.3382074	0.9747825	4.8291818	4.6983258	-0.9401099
"GTEX-11DYG"	0.5983208	0.9903864	-4.0268681	-3.5211143	0.3983667	2.1419299	3.8553918	4.1650026	2.4482292	-0.00474290000000001	-0.2077163	2.4704505	1.7881456	2.2398971	1.2897518	0.0985228	0.8064932	-0.9285156	-0.3568805	-0.7398667	0.1638152	2.9187013	1.9548626	1.0693165	0.7827419	1.3134282	3.774566	3.9088974	-0.8697001
"GTEX-11DZ1"	0.3973777	0.7880799	-3.8420909	-3.3417006	0.0879281	1.7554791	4.2601958	4.2547634	2.323756	0.0132742	0.1254851	2.9537955	2.0059986	2.4720729	1.3575114	0.3944299	1.4446086	-0.7645565	-0.1687645	-0.6915858	-0.284443	2.3171641	2.1461036	0.3227871	0.6583659	0.7984414	4.2126842	4.2589762	-0.3250282
"GTEX-11EI6"	0.2567584	0.7674	-3.9996438	-3.4268104	-0.25341	1.5499703	4.2779854	4.6069646	2.7700358	0.4976857	-0.029926	2.7546207	2.0132165	2.8750456	1.7602331	0.8144242	0.0475575	-0.1557962	0.99913	-1.0344505	-0.1907049	2.9102605	2.1565301	1.4051825	0.7656997	0.5849864	4.3680774	4.481973	-0.5878091
